feature,x,score
weekly_departures,40.0,-0.45568
weekly_departures,41.5,-0.4439
weekly_departures,43.0,-0.42389
weekly_departures,46.0,-0.40841
weekly_departures,48.5,-0.39792
weekly_departures,50.0,-0.38505
weekly_departures,51.5,-0.37177
weekly_departures,54.0,-0.35858
weekly_departures,60.0,-0.34602
weekly_departures,65.5,-0.33118
weekly_departures,68.5,-0.30188
weekly_departures,71.0,-0.28824
weekly_departures,73.5,-0.26671
weekly_departures,75.5,-0.25082
weekly_departures,79.0,-0.21665
weekly_departures,83.0,-0.2006
weekly_departures,86.0,-0.16334
weekly_departures,88.5,0.00295
weekly_departures,92.5,0.02163
weekly_departures,96.5,0.04138
weekly_departures,97.5,0.06256
weekly_departures,99.0,0.08289
weekly_departures,101.0,0.10468
weekly_departures,102.5,0.13002
weekly_departures,103.5,0.14378
weekly_departures,107.0,0.19591
weekly_departures,112.5,0.2326
weekly_departures,118.5,0.24479
weekly_departures,123.5,0.26432
weekly_departures,125.5,0.28338
weekly_departures,127.0,0.30284
weekly_departures,129.5,0.32255
weekly_departures,131.5,0.34194
weekly_departures,132.5,0.35963
weekly_departures,133.5,0.37954
weekly_departures,134.5,0.39298
weekly_departures,136.0,0.41448
weekly_departures,138.5,0.42853
weekly_departures,140.5,0.44503
weekly_departures,143.5,0.4563
weekly_departures,147.0,0.46771
weekly_departures,150.0,0.48392
weekly_departures,152.5,0.49919
weekly_departures,157.0,0.51368
weekly_departures,162.5,0.53096
weekly_departures,164.5,0.5557
weekly_departures,166.0,0.57467
weekly_departures,174.5,0.59287
weekly_departures,184.0,0.61731
weekly_departures,189.5,0.69554
weekly_departures,200.0,0.71629
weekly_departures,207.5,0.72949
weekly_departures,217.5,0.74532
weekly_departures,229.0,0.76388
weekly_departures,234.0,0.77818
weekly_departures,239.0,0.79664
weekly_departures,243.0,0.81254
weekly_departures,252.5,0.82802
weekly_departures,263.0,0.83905
weekly_departures,267.0,0.85274
weekly_departures,274.0,0.86377
weekly_departures,280.5,0.87591
weekly_departures,294.5,0.89387
weekly_departures,310.5,0.90976
weekly_departures,324.5,0.92338
weekly_departures,352.0,0.94098
weekly_departures,384.0,0.95506
weekly_departures,408.0,0.96934
weekly_departures,418.5,0.98438
weekly_departures,428.5,0.99944
weekly_departures,445.5,1.01817
weekly_departures,457.5,1.03223
weekly_departures,462.0,1.05311
weekly_departures,467.5,1.0756
weekly_departures,491.5,1.10149
weekly_departures,517.0,1.12598
weekly_departures,523.0,1.15333
weekly_departures,531.0,1.27355
weekly_departures,545.0,1.29808
weekly_departures,559.0,1.32036
weekly_departures,582.0,1.34087
weekly_departures,598.5,1.35844
weekly_departures,601.5,1.38048
weekly_departures,609.0,1.42792
weekly_departures,621.0,1.45135
weekly_departures,640.0,1.47171
weekly_departures,658.5,1.49609
weekly_departures,672.0,1.5211
weekly_departures,682.0,1.54833
weekly_departures,685.5,1.57132
weekly_departures,692.5,1.59279
weekly_departures,726.0,1.62808
weekly_departures,781.0,1.65051
weekly_departures,849.5,1.67183
weekly_departures,956.5,1.8031
weekly_departures,1037.0,1.8275
weekly_departures,1118.5,1.85081
weekly_departures,1298.5,1.85767
weekly_departures,1449.5,1.87011
weekly_departures,1661.0,1.88637
weekly_departures,1972.0,1.90409
weekly_departures,2173.5,1.93026
weekly_departures,2275.5,1.94447
weekly_departures,2328.0,1.96885
weekly_departures,2678.5,1.98787
weekly_departures,3109.0,2.13153
weekly_departures,3265.5,2.1675
num_routes_served,1.0,-0.08487
num_routes_served,1.5,0.01347
num_routes_served,2.5,0.13634
num_routes_served,3.5,0.24296
num_routes_served,4.5,0.37067
num_routes_served,5.5,0.5305
